orig.ident,nCount_RNA,nFeature_RNA
control,2344,874
control,3125,896
control,2578,725
control,3261,979
control,746,362
control,3519,866
control,3328,1137
control,484,281
control,1991,650
control,1186,447
control,889,452
control,1606,561
control,762,493
control,835,402
control,2863,998
control,1439,596
control,811,309
control,311,162
control,2352,903
control,1003,440
control,2596,676
control,5056,1356
control,2373,883
control,1071,491
control,585,270
control,1531,567
control,1031,384
control,1409,480
control,266,192
control,1768,747
control,1335,492
control,832,385
control,886,397
control,1370,597
control,564,301
control,1252,617
control,1428,572
control,1108,462
control,1408,557
control,880,436
control,3718,940
control,516,309
control,2088,850
control,1896,649
control,532,341
control,3676,928
control,1071,586
control,3718,942
control,1227,486
control,1339,551
control,1209,538
control,1139,584
control,1964,782
control,1157,549
control,3076,870
control,1502,525
control,994,433
control,1425,594
control,333,117
control,1967,736
control,1027,336
control,2450,919
control,623,289
control,1330,582
control,3698,984
control,1317,531
control,434,240
control,4111,1261
control,1543,762
control,1032,378
control,850,332
control,2357,831
control,1510,583
control,1343,480
control,984,434
control,1134,409
control,1938,611
control,1100,511
control,1093,528
control,1332,524
control,2287,785
control,1125,404
control,1246,559
control,1718,609
control,1618,600
control,1729,604
control,1462,621
control,1496,495
control,1430,595
control,802,498
control,732,378
control,1132,572
control,1170,644
control,1095,631
control,1999,677
control,2651,741
control,616,289
control,2439,913
control,998,407
control,1034,423
control,1182,455
control,2125,568
control,1261,529
control,1338,663
control,1102,424
control,1006,465
control,992,380
control,2900,883
control,749,381
control,2131,836
control,1785,555
control,539,284
control,582,309
control,1188,481
control,808,366
control,832,414
control,1666,566
control,2399,912
control,1192,494
control,1199,559
control,990,446
control,759,330
control,990,437
control,3104,890
control,864,404
control,1233,510
control,765,304
control,3179,955
control,1020,432
control,804,433
control,699,244
control,713,332
control,2034,725
control,1829,618
control,400,274
control,1401,506
control,1474,628
control,987,468
control,1194,536
control,2771,924
control,1474,585
control,935,366
control,1046,400
control,1380,536
control,2801,811
control,655,288
control,1472,568
control,2755,904
control,2041,685
control,1020,478
control,2593,914
control,1094,501
control,873,431
control,1594,587
control,991,407
control,1094,643
control,681,362
control,1923,677
control,1552,545
control,4554,1493
control,252,166
control,2022,864
control,1271,497
control,1683,585
control,1493,492
control,1235,419
control,1627,478
control,3708,1024
control,3689,1118
control,4299,1124
control,3362,1046
control,982,501
control,267,150
control,1180,492
control,3149,980
control,2728,956
control,3040,844
control,1842,776
control,444,224
control,1121,493
control,453,251
control,1301,453
control,1935,748
control,2640,969
control,479,302
control,2494,631
control,718,376
control,5778,1692
control,841,378
control,1244,485
control,916,323
control,397,198
control,835,409
control,2538,838
control,1507,616
control,3727,1046
control,2715,782
control,930,354
control,1240,449
control,2586,752
control,1097,485
control,2859,946
control,1421,500
control,1183,521
control,3616,1011
control,1189,524
control,2262,665
control,1074,569
control,1037,513
control,1283,564
control,998,414
control,1037,442
control,2350,895
control,683,340
control,1017,498
control,2934,937
control,1134,525
control,1317,567
control,2975,895
control,629,303
control,1006,353
control,809,389
control,910,465
control,1739,642
control,1276,489
control,1001,483
control,1826,768
control,4982,1299
control,1505,608
control,1607,625
control,1196,447
control,1807,544
control,1279,546
control,1688,529
control,2270,762
control,1693,920
control,844,393
control,1011,407
control,1357,649
control,2548,811
control,950,514
control,1005,472
control,1958,631
control,2004,733
control,1073,416
control,1369,466
control,476,182
control,1001,414
control,1062,479
control,3396,850
control,992,424
control,1438,511
control,1520,560
control,2413,951
control,403,220
control,852,436
control,1239,502
control,2011,708
control,952,392
control,742,467
control,930,426
control,739,403
control,1008,417
control,2004,689
control,1952,734
control,1187,450
control,1243,654
control,1004,513
control,1853,660
control,4001,1061
control,3056,847
control,843,471
control,1826,825
control,1127,433
control,3917,1150
control,2485,897
control,1201,535
control,1171,477
control,1495,656
control,1137,473
control,360,202
control,2741,1023
control,1106,467
control,2955,1247
control,1809,614
control,4732,1182
control,742,433
control,946,478
control,4252,1001
control,217,101
control,1003,528
control,863,470
control,975,451
control,2259,797
control,1813,660
control,1250,525
control,1269,471
control,2615,857
control,1245,501
control,1109,402
control,1380,622
control,357,224
control,1426,540
control,629,349
control,4759,1982
control,2468,891
control,920,481
control,1193,517
control,1089,433
control,1405,544
control,3062,791
control,2887,1235
control,657,346
control,1382,553
control,2609,727
control,2416,771
control,2818,821
control,607,298
control,3271,978
control,468,290
control,1841,643
control,1594,567
control,1473,626
control,1422,568
control,487,269
control,874,424
control,1003,535
control,2875,1039
control,980,483
control,1374,561
control,1100,405
control,2644,822
control,1803,552
control,1484,578
control,1443,615
control,1431,582
control,3111,974
control,890,423
control,4206,1237
control,1013,470
control,2423,763
control,1014,412
control,896,432
control,1696,510
control,1070,447
control,575,353
control,658,284
control,286,170
control,2433,968
control,1734,499
control,1473,569
control,1258,621
control,1014,470
control,2217,698
control,1142,489
control,3535,916
control,1226,464
control,1043,413
control,1212,586
control,1054,504
control,778,465
control,2268,744
control,721,363
control,3334,1060
control,1646,594
control,1257,498
control,882,395
control,995,516
control,5011,1530
control,2451,788
control,3101,1001
control,981,462
control,1123,444
control,1094,528
control,1301,488
control,1711,608
control,2118,669
control,523,289
control,1155,549
control,1844,599
control,1627,814
control,4011,1159
control,459,229
control,5066,1335
control,1139,443
control,1495,463
control,1601,547
control,748,278
control,716,380
control,1149,460
control,1393,748
control,506,278
control,1780,747
control,2372,642
control,1656,662
control,815,435
control,1216,488
control,1588,544
control,1631,508
control,929,477
control,1915,704
control,1087,527
control,297,229
control,4518,1429
control,269,129
control,967,434
control,1496,458
control,2321,1022
control,1470,615
control,558,272
control,1364,539
control,1668,587
control,341,196
control,1032,497
control,1375,521
control,983,439
control,1125,555
control,4267,1252
control,1696,788
control,1409,564
control,1859,674
control,1501,535
control,1065,469
control,715,410
control,2866,935
control,1077,485
control,938,379
control,1132,569
control,650,374
control,779,446
control,851,489
control,3249,852
control,941,459
control,1405,516
control,2093,877
control,1352,446
control,1098,442
control,650,376
control,523,334
control,1205,580
control,975,469
control,3956,1148
control,1243,453
control,1210,468
control,1445,520
control,3781,1155
control,2004,752
control,1159,531
control,3042,889
control,1380,411
control,1546,609
control,786,423
control,3446,1118
control,1387,570
control,634,280
control,524,248
control,612,326
control,989,441
control,863,415
control,1420,509
control,1012,446
control,944,515
control,1196,667
control,3895,1303
control,1719,597
control,1206,505
control,2637,938
control,1005,442
control,2689,764
control,421,188
control,966,449
control,2645,823
control,871,408
control,1090,518
control,2465,988
control,2229,679
control,706,361
control,342,241
control,3354,1222
control,240,125
control,1809,547
control,1115,398
control,3526,1166
control,2206,705
control,1121,476
control,1202,462
control,1126,439
control,1671,600
control,1134,479
control,1150,519
control,1771,654
control,1248,459
control,416,182
control,516,221
control,810,371
control,1998,572
control,2361,805
control,3318,906
control,1158,513
control,1375,616
control,3702,1153
control,2083,780
control,1939,716
control,996,426
control,547,259
control,3476,963
control,208,125
control,1015,419
control,1976,1058
control,1232,449
control,648,355
control,1572,572
control,1345,559
control,1023,430
control,3585,1027
control,1066,465
control,685,330
control,2278,765
control,1495,563
control,994,500
control,1522,573
control,1437,656
control,1794,658
control,1444,621
control,1576,646
control,970,422
control,922,387
control,2147,601
control,2303,805
control,713,360
control,1497,686
control,882,448
control,2755,732
control,2796,931
control,1728,717
control,1050,465
control,2004,748
control,915,445
control,3032,932
control,753,386
control,3489,1040
control,1842,692
control,1089,536
control,1956,753
control,2327,787
control,1829,705
control,2790,852
control,1402,571
control,1168,418
control,362,172
control,1295,528
control,4929,1287
control,1075,454
control,1405,587
control,1175,529
control,478,261
control,1147,442
control,1234,492
control,1322,491
control,1547,732
control,1301,572
control,788,409
control,996,465
control,1067,409
control,1331,533
control,3935,1083
control,3111,991
control,3310,935
control,2509,925
control,526,264
control,2744,824
control,798,433
control,1123,638
control,1171,508
control,185,130
control,3480,1093
control,1065,444
control,1867,676
control,2306,660
control,2904,962
control,1141,463
control,1415,551
control,1315,515
control,2142,673
control,836,375
control,1285,498
control,1649,601
control,1046,491
control,3444,1015
control,1444,512
control,1113,574
control,1010,456
control,2057,656
control,1121,507
control,856,388
control,5141,1339
control,1287,447
control,2487,717
control,997,456
control,1112,443
control,2503,682
control,983,479
control,1827,631
control,709,379
control,775,361
control,3209,1047
control,2125,868
control,1240,594
control,2168,599
control,536,296
control,1364,514
control,1183,538
control,1161,520
control,1168,582
control,2576,1144
control,5619,1182
control,1509,577
control,1005,514
control,1013,528
control,1320,493
control,1311,532
control,1087,428
control,902,413
control,3652,1065
control,405,197
control,1480,514
control,1568,654
control,972,433
control,1047,511
control,869,447
control,2190,735
control,852,440
control,1231,575
control,743,392
control,2732,736
control,682,379
control,1319,563
control,2959,998
control,373,238
control,1419,534
control,1763,670
control,3941,1109
control,1257,575
control,2172,856
control,976,482
control,1109,451
control,1379,498
control,1350,526
control,998,478
control,2312,649
control,1488,480
control,727,408
control,792,313
control,1161,589
control,2674,839
control,972,476
control,2255,1069
control,2965,1027
control,1567,626
control,2349,1160
control,1844,644
control,814,431
control,272,187
control,951,481
control,1110,505
control,1172,511
control,509,295
control,1398,550
control,680,338
control,1198,484
control,443,270
control,1179,388
control,206,113
control,4536,1265
control,1330,660
control,941,413
control,2594,816
control,2306,705
control,1323,544
control,780,397
control,1814,607
control,1572,539
control,1849,715
control,435,265
control,1311,491
control,2338,796
control,880,417
control,3637,1247
control,1820,568
control,2198,792
control,538,261
control,1505,621
control,1257,444
control,1492,661
control,281,141
control,1122,441
control,1665,681
control,2707,885
control,4233,1142
control,1822,714
control,2654,806
control,3572,1026
control,1729,594
control,1158,539
control,1061,482
control,1359,566
control,2251,909
control,1160,428
control,1154,471
control,1896,660
control,1156,407
control,923,426
control,1166,512
control,1230,486
control,1352,529
control,575,301
control,1970,791
control,1341,567
control,1226,508
control,1000,452
control,1168,508
control,1839,931
control,1196,460
control,277,103
control,717,366
control,1953,864
control,1171,454
control,849,415
control,447,274
control,2223,865
control,1065,476
control,2036,633
control,3114,1005
control,3758,903
control,1418,604
control,1085,564
control,885,434
control,2109,784
control,790,404
control,705,394
control,3850,1068
control,980,430
control,2917,972
control,1033,439
control,3666,918
control,3258,975
control,1344,545
control,877,387
control,382,235
control,2169,889
control,3795,957
control,787,450
control,1014,439
control,894,402
control,1572,577
control,852,339
control,735,426
control,1560,544
control,1401,402
control,1053,594
control,763,368
control,1545,693
control,1291,546
control,1318,538
control,1118,657
control,981,431
control,1673,641
control,693,401
control,1699,725
control,1022,490
control,761,428
control,1483,614
control,873,340
control,2526,859
control,1301,510
control,855,427
control,795,370
control,980,466
control,1861,590
control,2926,939
control,1851,645
control,1405,510
control,821,360
control,1147,440
control,1468,622
control,419,229
control,2772,885
control,2346,629
control,2144,947
control,939,442
control,982,409
control,1289,542
control,1235,555
control,640,283
control,1788,549
control,2585,833
control,730,460
control,1967,556
control,2388,689
control,607,303
control,1127,392
control,1163,535
control,1690,578
control,833,521
control,1875,710
control,1076,456
control,1223,439
control,6147,1594
control,1112,383
control,1600,673
control,1920,597
control,3254,849
control,2510,804
control,1012,410
control,1169,479
control,1341,577
control,2457,728
control,1112,479
control,1319,534
control,3044,820
control,777,369
control,1214,540
control,1665,680
control,2553,808
control,1828,537
control,374,186
control,1213,473
control,839,395
control,3369,822
control,774,399
control,1531,551
control,275,162
control,1252,576
control,593,256
control,848,399
control,449,223
control,2193,715
control,1475,506
control,1114,502
control,1207,448
control,1177,523
control,1113,489
control,1007,431
control,1246,490
control,4357,1083
control,1748,631
control,1590,755
control,1170,568
control,316,192
control,2806,876
control,1213,543
control,1501,584
control,1594,647
control,973,489
control,1155,472
control,683,412
control,1051,405
control,1168,523
control,1071,535
control,1471,503
control,2020,728
control,1660,593
control,905,388
control,1341,466
control,870,400
control,3067,864
control,1655,591
control,1184,480
control,1145,486
control,5550,1473
control,1596,519
control,2198,885
control,2727,876
control,1043,455
control,1652,649
control,578,326
control,1832,622
control,1939,911
control,1149,571
control,921,481
control,1250,525
control,3764,1056
control,1289,502
control,1609,471
control,596,294
control,635,338
control,2484,827
control,2433,796
control,3754,1147
control,3758,1004
control,671,340
control,754,408
control,322,195
control,941,410
control,3449,984
control,2398,678
control,2107,825
control,331,196
control,348,213
control,1079,382
control,1256,452
control,764,462
control,835,396
control,1797,593
control,889,353
control,3609,1086
control,1071,479
control,1285,550
control,1068,426
control,2005,755
control,957,393
control,664,383
control,1899,723
control,1228,432
control,1461,572
control,2870,1002
control,657,359
control,2010,733
control,1598,597
control,3571,1262
control,1942,614
control,1067,447
control,3034,794
control,1170,472
control,4145,964
control,2026,709
control,1228,508
control,2930,926
control,1218,505
control,582,341
control,1328,495
control,866,422
control,1322,537
control,3233,1091
control,988,501
control,991,452
control,1226,559
control,2913,932
control,1216,542
control,1537,525
control,2831,969
control,2498,1033
control,1276,618
control,1276,469
control,1226,457
control,762,360
control,1189,496
control,911,435
control,1066,422
control,2857,876
control,785,343
control,854,460
control,1692,659
control,880,360
control,2578,755
control,1873,732
control,1045,637
control,1115,437
control,1125,503
control,1229,421
control,963,441
control,1041,531
control,1173,500
control,987,381
control,1195,466
control,1200,404
control,890,477
control,1193,516
control,884,489
control,2044,646
control,961,565
control,1228,465
control,977,452
control,1087,407
control,1296,525
control,3765,1160
control,557,349
control,1690,827
control,1014,508
control,1161,607
control,906,473
control,459,256
control,1760,692
control,377,166
control,3549,1057
control,955,408
control,573,203
control,1026,436
control,2429,799
control,1185,475
control,952,442
control,733,370
control,1141,453
control,905,431
control,1253,508
control,819,322
control,854,431
control,1267,614
control,1178,401
control,2301,729
control,1041,477
control,1852,613
control,1077,641
control,1059,559
control,255,120
control,894,396
control,545,300
control,1030,480
control,877,416
control,3770,775
control,1144,433
control,831,416
control,2874,868
control,1447,511
control,1393,537
control,2042,832
control,1376,580
control,947,405
control,1005,441
control,2312,719
control,1110,491
control,1237,493
control,1355,551
control,1588,614
control,1346,447
control,1938,583
control,2630,873
control,1893,770
control,1245,501
control,5314,641
control,946,527
control,2523,779
control,2828,1002
control,696,388
control,912,469
control,834,454
control,662,437
control,1641,547
control,1274,471
control,160,106
control,637,353
control,1875,644
control,1785,675
control,873,438
control,2531,652
control,3375,1026
control,1112,446
control,644,348
control,1557,568
control,1305,481
control,1755,618
control,3221,1240
control,1489,579
control,1468,596
control,972,390
control,674,293
control,2836,808
control,2806,900
control,1257,544
control,1232,453
control,1656,574
control,970,579
control,494,311
control,1338,560
control,1779,671
control,188,120
control,3271,1055
control,1742,750
control,1027,452
control,2384,851
control,4302,1038
control,1430,560
control,1195,434
control,2547,1039
control,1058,418
control,1047,506
control,1440,561
control,765,365
control,1593,428
control,2887,993
control,887,461
control,1181,449
control,565,346
control,2342,764
control,2651,892
control,854,440
control,1941,540
control,880,433
control,2648,822
control,1239,518
control,1951,671
control,1665,592
control,2337,657
control,897,416
control,1128,468
control,1715,554
control,1432,734
control,4395,1158
control,1258,563
control,1055,450
control,2939,1085
control,903,364
control,428,179
control,1887,842
