orig.ident,nCount_RNA,nFeature_RNA,novelty_score,RNA_snn_res.0.8,seurat_clusters
control,2344,874,0.8728630372745061,0,0
control,3125,896,0.8447595723271838,4,4
control,2578,725,0.8384933409234407,4,4
control,3261,979,0.8512621890246717,4,4
control,746,362,0.8906861097373843,6,6
control,3519,866,0.828305304871292,4,4
control,3328,1137,0.867575645311302,17,17
control,484,281,0.9120474329312201,3,3
control,1991,650,0.8526379501785861,0,0
control,1186,447,0.8621452533793829,4,4
control,889,452,0.9003821252891853,0,0
control,1606,561,0.8575112485215587,4,4
control,762,493,0.9343820240277839,3,3
control,835,402,0.8913434329579851,0,0
control,2863,998,0.8675977840173393,6,6
control,1439,596,0.8787817717342989,0,0
control,811,309,0.8559438395982352,0,0
control,311,162,0.8863728035269429,3,3
control,2352,903,0.8766847703368517,7,7
control,1003,440,0.8807689516911911,7,7
control,2596,676,0.8288500747403913,4,4
control,5056,1356,0.8456865150720395,4,4
control,2373,883,0.872800248174099,0,0
control,1071,491,0.8882074210206125,3,3
control,585,270,0.8786508175997266,0,0
control,1531,567,0.8645540056119628,0,0
control,1031,384,0.8576532954645538,0,0
control,1409,480,0.8514820657817406,9,9
control,266,192,0.941613476802844,6,6
control,1768,747,0.8847840792258407,0,0
control,1335,492,0.8612961889451419,7,7
control,832,385,0.8853943620226042,3,3
control,886,397,0.8817129584509463,0,0
control,1370,597,0.8849925492872092,3,3
control,564,301,0.9008778833108348,3,3
control,1252,617,0.9007881148742967,3,3
control,1428,572,0.874051850897945,11,11
control,1108,462,0.8752199627088068,4,4
control,1408,557,0.8720869211560874,0,0
control,880,436,0.8964177355274217,7,7
control,3718,940,0.8327367554553612,4,4
control,516,309,0.9179063842748317,6,6
control,2088,850,0.882426730337735,13,13
control,1896,649,0.8579571080385595,0,0
control,532,341,0.9291403099740528,6,6
control,3676,928,0.8323241055422839,4,4
control,1071,586,0.9135610387008638,6,6
control,3718,942,0.832995290247036,4,4
control,1227,486,0.8697868133870683,11,11
control,1339,551,0.8766689990991514,0,0
control,1209,538,0.8859197298257592,0,0
control,1139,584,0.9050846964866571,0,0
control,1964,782,0.8785552541848323,13,13
control,1157,549,0.8943108775427411,0,0
control,3076,870,0.8427553819188323,4,4
control,1502,525,0.856292709366012,9,9
control,994,433,0.8795956070520038,12,12
control,1425,594,0.879501988636128,3,3
control,333,117,0.8199134134558381,6,6
control,1967,736,0.8703849716222086,7,7
control,1027,336,0.8388776967714451,0,0
control,2450,919,0.874349452821735,7,7
control,623,289,0.8806256465110196,0,0
control,1330,582,0.8851006073367558,6,6
control,3698,984,0.8388516980658445,4,4
control,1317,531,0.8735437066528015,0,0
control,434,240,0.9024532740650869,6,6
control,4111,1261,0.8579856532213621,14,14
control,1543,762,0.9038971806156861,6,6
control,1032,378,0.855264015666287,9,9
control,850,332,0.8606273625030589,0,0
control,2357,831,0.8657442815154047,12,12
control,1510,583,0.869986980281163,9,9
control,1343,480,0.8571534791726779,0,0
control,984,434,0.8812208649773083,7,7
control,1134,409,0.8550095417523209,0,0
control,1938,611,0.8475027036538872,4,4
control,1100,511,0.8905199625657054,3,3
control,1093,528,0.896009957620652,3,3
control,1332,524,0.8703240870567088,11,11
control,2287,785,0.8617565607767611,12,12
control,1125,404,0.8542284746289845,0,0
control,1246,559,0.887545079796893,3,3
control,1718,609,0.8607719807073568,0,0
control,1618,600,0.8657431751028699,3,3
control,1729,604,0.8589292850221699,4,4
control,1462,621,0.8825080708570467,0,0
control,1496,495,0.8487128366564064,4,4
control,1430,595,0.8793095038959923,0,0
control,802,498,0.9287422174837551,6,6
