"gene_id","gene_name","seq_name","gene_biotype","description"
"ENSG00000223972","DDX11L1","1","transcribed_unprocessed_pseudogene","DEAD/H-box helicase 11 like 1 [Source:HGNC Symbol;Acc:HGNC:37102]"
"ENSG00000227232","WASH7P","1","unprocessed_pseudogene","WASP family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]"
"ENSG00000278267","MIR6859-1","1","miRNA","microRNA 6859-1 [Source:HGNC Symbol;Acc:HGNC:50039]"
"ENSG00000243485","MIR1302-2HG","1","lncRNA","MIR1302-2 host gene [Source:HGNC Symbol;Acc:HGNC:52482]"
"ENSG00000284332","MIR1302-2","1","miRNA","microRNA 1302-2 [Source:HGNC Symbol;Acc:HGNC:35294]"
"ENSG00000237613","FAM138A","1","lncRNA","family with sequence similarity 138 member A [Source:HGNC Symbol;Acc:HGNC:32334]"
"ENSG00000268020","OR4G4P","1","unprocessed_pseudogene","olfactory receptor family 4 subfamily G member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:14822]"
"ENSG00000240361","OR4G11P","1","transcribed_unprocessed_pseudogene","olfactory receptor family 4 subfamily G member 11 pseudogene [Source:HGNC Symbol;Acc:HGNC:31276]"
"ENSG00000186092","OR4F5","1","protein_coding","olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825]"
"ENSG00000238009","AL627309.1","1","lncRNA","novel transcript"
"ENSG00000239945","AL627309.3","1","lncRNA","novel transcript"
"ENSG00000233750","CICP27","1","processed_pseudogene","capicua transcriptional repressor pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:48835]"
"ENSG00000268903","AL627309.6","1","processed_pseudogene","novel pseudogene"
"ENSG00000269981","AL627309.7","1","processed_pseudogene","novel pseudogene"
"ENSG00000239906","AL627309.2","1","lncRNA","novel transcript"
"ENSG00000241860","AL627309.5","1","lncRNA","novel transcript"
"ENSG00000222623","RNU6-1100P","1","snRNA","RNA, U6 small nuclear 1100, pseudogene [Source:HGNC Symbol;Acc:HGNC:48063]"
"ENSG00000241599","AL627309.4","1","lncRNA","novel transcript"
"ENSG00000279928","FO538757.1","1","unprocessed_pseudogene","DEAD/H-box helicase 11 (DDX11) pseudogene"
"ENSG00000279457","WASH9P","1","unprocessed_pseudogene","WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]"
"ENSG00000273874","MIR6859-2","1","miRNA","microRNA 6859-2 [Source:HGNC Symbol;Acc:HGNC:49954]"
"ENSG00000228463","AP006222.1","1","transcribed_processed_pseudogene","ribosomal protein L23a (RPL23A) pseudogene"
"ENSG00000286448","AP006222.2","1","lncRNA","novel transcript"
"ENSG00000236679","RPL23AP24","1","processed_pseudogene","ribosomal protein L23a pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:36176]"
"ENSG00000236601","AL732372.1","1","lncRNA","novel transcript"
"ENSG00000237094","AL732372.2","1","transcribed_unprocessed_pseudogene","pseudogene similar to part of septin 14 SEPT14"
"ENSG00000269732","WBP1LP7","1","processed_pseudogene","WBP1L pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:43955]"
"ENSG00000284733","OR4F29","1","protein_coding","olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275]"
"ENSG00000233653","CICP7","1","processed_pseudogene","capicua transcriptional repressor pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:37756]"
"ENSG00000250575","AL732372.3","1","unprocessed_pseudogene","novel pseudogene"
"ENSG00000278757","U6","1","snRNA","U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]"
"ENSG00000230021","AL669831.3","1","transcribed_processed_pseudogene","septin 14 (SEPT14) pseudogene"
"ENSG00000235146","AC114498.1","1","lncRNA","novel transcript"
"ENSG00000225972","MTND1P23","1","unprocessed_pseudogene","MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092]"
"ENSG00000225630","MTND2P28","1","unprocessed_pseudogene","MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129]"
"ENSG00000237973","MTCO1P12","1","unprocessed_pseudogene","MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014]"
"ENSG00000278791","AC114498.2","1","miRNA","NULL"
"ENSG00000229344","MTCO2P12","1","unprocessed_pseudogene","MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]"
"ENSG00000240409","MTATP8P1","1","unprocessed_pseudogene","MT-ATP8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44571]"
